prompt,status,response
Can you provide updates about the status of airplane <MASKED_FLIGHT_NUM>?,BOARDING,The flight carrier <MASKED_FLIGHT_NUM> is currently boarding at gate airside gate.
Is the airplane <MASKED_FLIGHT_NUM> departing on time today?,BOARDING,Boarding for service <MASKED_FLIGHT_NUM> is underway at gate entry gate.
Can you confirm if plane <MASKED_FLIGHT_NUM> is departing as scheduled?,DEPARTED,service <MASKED_FLIGHT_NUM> is already in flight.
Has there been any change in the schedule for flight <MASKED_FLIGHT_NUM>?,DEPARTED,carrier <MASKED_FLIGHT_NUM> is currently on its way to the destination.
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,BOARDING,Flight carrier <MASKED_FLIGHT_NUM> is in the process of boarding at gate gate position.
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,CANCELLED,"Sadly, service <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for further assistance."
What’s the latest departure update for plane <MASKED_FLIGHT_NUM>?,ON_TIME,service <MASKED_FLIGHT_NUM> is on track to depart as scheduled at <MASKED_FLIGHT_TIME>.
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"Unfortunately, plane <MASKED_FLIGHT_NUM> has been cancelled. Please speak with customer service for your next steps."
Could you check if service <MASKED_FLIGHT_NUM> is on schedule?,ON_TIME,"Timely as always, plane <MASKED_FLIGHT_NUM> departs at <MASKED_FLIGHT_TIME>."
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,CANCELLED,"We're sorry, but carrier <MASKED_FLIGHT_NUM> has been cancelled. Please contact us for information on alternative flights."
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,BOARDING,Boarding is currently happening for airplane <MASKED_FLIGHT_NUM>.
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"We're sorry, but jet <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer service for help with finding another flight."
Can you tell me if flight <MASKED_FLIGHT_NUM> is still leaving on time?,CANCELLED,"Sadly, jet <MASKED_FLIGHT_NUM> is cancelled. Please speak with customer support for further assistance."
Do you have updates about flight <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,"Unfortunately, aircraft <MASKED_FLIGHT_NUM> is delayed. The new departure time is <MASKED_FLIGHT_TIME>."
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,BOARDING,"Boarding is in progress for flight <MASKED_FLIGHT_NUM>, please proceed to the gate."
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,BOARDING,plane <MASKED_FLIGHT_NUM> is now in the boarding phase.
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,DEPARTED,"carrier <MASKED_FLIGHT_NUM> is already in the air, heading to its destination."
What’s the latest update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,The flight jet <MASKED_FLIGHT_NUM> has already departed from the airport.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",DELAYED,"Unfortunately, carrier <MASKED_FLIGHT_NUM> is delayed. The updated schedule shows departure at <MASKED_FLIGHT_TIME>."
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,ON_TIME,"Timely as always, aircraft <MASKED_FLIGHT_NUM> departs at <MASKED_FLIGHT_TIME>."
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,The flight aircraft <MASKED_FLIGHT_NUM> is already in the air.
Can you provide the latest status of flight <MASKED_FLIGHT_NUM>?,DELAYED,aircraft <MASKED_FLIGHT_NUM> is delayed. Apologies for the inconvenience. New departure time: <MASKED_FLIGHT_TIME>.
Is the aircraft <MASKED_FLIGHT_NUM> currently running on time?,DEPARTED,Flight plane <MASKED_FLIGHT_NUM> is no longer at the gate.
What’s the expected departure time for service <MASKED_FLIGHT_NUM>?,DEPARTED,airplane <MASKED_FLIGHT_NUM> has taken off and is en route.
Can you confirm if plane <MASKED_FLIGHT_NUM> is departing as scheduled?,ON_TIME,No adjustments for airplane <MASKED_FLIGHT_NUM>. It’s leaving at <MASKED_FLIGHT_TIME>.
Is the aircraft <MASKED_FLIGHT_NUM> currently running on time?,DELAYED,airline <MASKED_FLIGHT_NUM> has a delay. The departure is now planned for <MASKED_FLIGHT_TIME>.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",CANCELLED,"Regrettably, jet <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for help with your travel plans."
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,DEPARTED,"aircraft <MASKED_FLIGHT_NUM> is already in the air, heading to its destination."
Could you check if service <MASKED_FLIGHT_NUM> is on schedule?,CANCELLED,"We’re sorry to inform you that carrier <MASKED_FLIGHT_NUM> has been cancelled. For rebooking assistance, please contact our support team."
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",ON_TIME,"Your flight, aircraft <MASKED_FLIGHT_NUM>, is departing as scheduled at <MASKED_FLIGHT_TIME>."
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,BOARDING,"The boarding gate for plane <MASKED_FLIGHT_NUM> is open, and boarding is in progress."
What’s the departure schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,Great news! flight <MASKED_FLIGHT_NUM> will depart at <MASKED_FLIGHT_TIME> as planned.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave as scheduled?,BOARDING,The gate for flight <MASKED_FLIGHT_NUM> is now open for boarding.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on time?,ON_TIME,"Relax, jet <MASKED_FLIGHT_NUM> is on time and set for <MASKED_FLIGHT_TIME>."
Is flight <MASKED_FLIGHT_NUM> still expected to depart as planned?,DELAYED,"We apologize, but carrier <MASKED_FLIGHT_NUM> is running behind schedule. Departure is at <MASKED_FLIGHT_TIME>."
Can you confirm if flight <MASKED_FLIGHT_NUM> is running as scheduled?,CANCELLED,"Apologies, but jet <MASKED_FLIGHT_NUM> has been cancelled. Our support team will help you find another flight."
Is the plane <MASKED_FLIGHT_NUM> leaving as planned?,CANCELLED,"Sadly, service <MASKED_FLIGHT_NUM> has been cancelled. Please contact our customer service to reschedule."
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,CANCELLED,"Unfortunately, aircraft <MASKED_FLIGHT_NUM> is cancelled. Please reach out to customer support for your next steps."
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,CANCELLED,We’re sorry to announce that carrier <MASKED_FLIGHT_NUM> is cancelled. Please contact support for assistance with rebooking.
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,"The status of jet <MASKED_FLIGHT_NUM> is on time, leaving at <MASKED_FLIGHT_TIME>."
Can you provide updates about the status of airplane <MASKED_FLIGHT_NUM>?,CANCELLED,We regret to inform you that service <MASKED_FLIGHT_NUM> is cancelled. Our team is ready to assist with alternative arrangements.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,ON_TIME,We’re happy to confirm that carrier <MASKED_FLIGHT_NUM> is on time and departing at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,DELAYED,"Due to unexpected reasons, airline <MASKED_FLIGHT_NUM> has been delayed to <MASKED_FLIGHT_TIME>."
Can you confirm if the aircraft <MASKED_FLIGHT_NUM> is running as planned?,CANCELLED,"Sadly, airplane <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support to make alternative arrangements."
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DELAYED,We apologize for the inconvenience. carrier <MASKED_FLIGHT_NUM> is delayed. The revised departure time is <MASKED_FLIGHT_TIME>.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it on time?",BOARDING,Gate boarding zone is now open for boarding passengers for airline <MASKED_FLIGHT_NUM>.
What’s the latest update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,We're sorry to announce that jet <MASKED_FLIGHT_NUM> is cancelled. Please contact us to rebook or inquire about your options.
Please confirm the status of airplane <MASKED_FLIGHT_NUM>. Is it on time?,DEPARTED,Flight flight <MASKED_FLIGHT_NUM> is in flight and heading to its destination.
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,DEPARTED,aircraft <MASKED_FLIGHT_NUM> has departed and is currently en route.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave as scheduled?,BOARDING,Now boarding passengers for flight <MASKED_FLIGHT_NUM> at gate departure point.
What’s the latest on flight <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"We apologize, but carrier <MASKED_FLIGHT_NUM> is no longer scheduled to depart. Please contact support for rebooking options."
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,BOARDING,Now boarding for airline <MASKED_FLIGHT_NUM> at gate boarding gate.
Can you check if airplane <MASKED_FLIGHT_NUM> is leaving as planned?,CANCELLED,"We apologize, but carrier <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to customer support for rescheduling assistance."
What’s the current departure status of flight <MASKED_FLIGHT_NUM>?,ON_TIME,No updates! jet <MASKED_FLIGHT_NUM> is leaving on time at <MASKED_FLIGHT_TIME>.
Is the aircraft <MASKED_FLIGHT_NUM> currently running on time?,BOARDING,airplane <MASKED_FLIGHT_NUM> is currently boarding.
Could you tell me if airplane <MASKED_FLIGHT_NUM> is on schedule?,DEPARTED,Flight jet <MASKED_FLIGHT_NUM> is now airborne and heading to the destination.
Can you verify if plane <MASKED_FLIGHT_NUM> is departing on time?,ON_TIME,Everything looks great for aircraft <MASKED_FLIGHT_NUM>. It will depart at <MASKED_FLIGHT_TIME>.
"Has airplane <MASKED_FLIGHT_NUM> been delayed, or is it on time?",DEPARTED,Flight carrier <MASKED_FLIGHT_NUM> is in flight and heading to its destination.
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,There is a delay affecting aircraft <MASKED_FLIGHT_NUM>. The new departure time is <MASKED_FLIGHT_TIME>.
Has there been a schedule change for airplane <MASKED_FLIGHT_NUM>?,DEPARTED,Flight aircraft <MASKED_FLIGHT_NUM> is already on its way to its destination.
Could you check the status of airplane <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,carrier <MASKED_FLIGHT_NUM> is delayed and now departing at <MASKED_FLIGHT_TIME>.
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",BOARDING,The boarding process for flight <MASKED_FLIGHT_NUM> is now open at gate terminal gate.
What’s the expected departure time for service <MASKED_FLIGHT_NUM>?,ON_TIME,The status of airline <MASKED_FLIGHT_NUM> is on time. It will depart at <MASKED_FLIGHT_TIME>.
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,ON_TIME,No delays reported for plane <MASKED_FLIGHT_NUM>. The flight will leave at <MASKED_FLIGHT_TIME>.
Can you provide the latest status of flight <MASKED_FLIGHT_NUM>?,BOARDING,Boarding for airplane <MASKED_FLIGHT_NUM> is available now at gate flight access point.
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,It’s all good! plane <MASKED_FLIGHT_NUM> departs at <MASKED_FLIGHT_TIME>.
Do you know if the plane <MASKED_FLIGHT_NUM> is leaving on time?,BOARDING,Boarding for flight <MASKED_FLIGHT_NUM> has started at gate departure gate.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,BOARDING,The flight carrier <MASKED_FLIGHT_NUM> has opened its boarding gates.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,DEPARTED,Flight flight <MASKED_FLIGHT_NUM> has left for its destination.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",DEPARTED,flight <MASKED_FLIGHT_NUM> has already departed from the airport and is en route.
Can you provide updates about the status of airplane <MASKED_FLIGHT_NUM>?,DELAYED,We apologize for the delay. aircraft <MASKED_FLIGHT_NUM> is now scheduled for <MASKED_FLIGHT_TIME>.
What’s the current departure schedule for flight <MASKED_FLIGHT_NUM>?,BOARDING,Passengers for airplane <MASKED_FLIGHT_NUM> can now board at gate terminal gate.
What’s the current departure status of flight <MASKED_FLIGHT_NUM>?,DEPARTED,airplane <MASKED_FLIGHT_NUM> is currently on its way to the destination.
Do you know if the plane <MASKED_FLIGHT_NUM> is leaving on time?,ON_TIME,Good news! service <MASKED_FLIGHT_NUM> is on time and departing at <MASKED_FLIGHT_TIME>.
Can you verify if plane <MASKED_FLIGHT_NUM> is departing on time?,BOARDING,Boarding for flight <MASKED_FLIGHT_NUM> is available now at gate boarding area.
Is the plane <MASKED_FLIGHT_NUM> leaving as planned?,BOARDING,Boarding for aircraft <MASKED_FLIGHT_NUM> is now in progress at gate terminal gate.
Can I get the current status of airplane <MASKED_FLIGHT_NUM>?,DELAYED,airplane <MASKED_FLIGHT_NUM> is delayed and now departing at <MASKED_FLIGHT_TIME>.
Can I get a confirmation that service <MASKED_FLIGHT_NUM> is on time?,BOARDING,The boarding gates for service <MASKED_FLIGHT_NUM> are now open for passengers.
Can I get confirmation that flight <MASKED_FLIGHT_NUM> is on schedule?,DELAYED,jet <MASKED_FLIGHT_NUM> will now leave at <MASKED_FLIGHT_TIME> due to a delay.
What’s the current departure schedule for flight <MASKED_FLIGHT_NUM>?,DELAYED,We understand your concern. plane <MASKED_FLIGHT_NUM> is delayed. It will now depart at <MASKED_FLIGHT_TIME>.
Can you check if the plane <MASKED_FLIGHT_NUM> is on schedule today?,DEPARTED,The flight plane <MASKED_FLIGHT_NUM> has already taken off and is in flight.
What’s the latest departure update for plane <MASKED_FLIGHT_NUM>?,DEPARTED,Flight airline <MASKED_FLIGHT_NUM> is already airborne and heading to its destination.
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,DELAYED,jet <MASKED_FLIGHT_NUM> is delayed. Departure will now take place at <MASKED_FLIGHT_TIME>.
Do you know if flight <MASKED_FLIGHT_NUM> is scheduled to leave soon?,CANCELLED,We're sorry to inform you that jet <MASKED_FLIGHT_NUM> is cancelled. Please contact support to reschedule your flight.
"Has airplane <MASKED_FLIGHT_NUM> been delayed, or is it on time?",DEPARTED,The flight aircraft <MASKED_FLIGHT_NUM> has left the airport.
Can you tell me if service <MASKED_FLIGHT_NUM> is running on time?,ON_TIME,All systems are a go for airline <MASKED_FLIGHT_NUM>. Departure is on time at <MASKED_FLIGHT_TIME>.
Do you know if plane <MASKED_FLIGHT_NUM> is running on time today?,CANCELLED,We're sorry to announce that aircraft <MASKED_FLIGHT_NUM> is cancelled. Please contact us to rebook or inquire about your options.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,BOARDING,Boarding for airline <MASKED_FLIGHT_NUM> is in progress at gate entry gate.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,CANCELLED,"Unfortunately, aircraft <MASKED_FLIGHT_NUM> will not depart. Please contact customer service for further details and rebooking."
What’s the current departure schedule for flight <MASKED_FLIGHT_NUM>?,ON_TIME,There are no delays for airline <MASKED_FLIGHT_NUM>. It’s scheduled to depart at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,BOARDING,"Boarding for airline <MASKED_FLIGHT_NUM> has started, please proceed to the gate."
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,ON_TIME,service <MASKED_FLIGHT_NUM> remains on time for departure at <MASKED_FLIGHT_TIME>.
Can you check if airplane <MASKED_FLIGHT_NUM> is leaving as planned?,DELAYED,Please note that plane <MASKED_FLIGHT_NUM> is running late. Departure is now scheduled for <MASKED_FLIGHT_TIME>.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,DELAYED,We’re sorry for the delay with service <MASKED_FLIGHT_NUM>. The departure is now at <MASKED_FLIGHT_TIME>.
Can you verify if flight <MASKED_FLIGHT_NUM> is still on time?,ON_TIME,We’re happy to let you know that jet <MASKED_FLIGHT_NUM> is on time for departure at <MASKED_FLIGHT_TIME>.
Do you know the current departure time for service <MASKED_FLIGHT_NUM>?,BOARDING,The flight plane <MASKED_FLIGHT_NUM> has begun boarding.
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,CANCELLED,"Unfortunately, flight <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for further assistance."
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,DEPARTED,The flight jet <MASKED_FLIGHT_NUM> has already departed and is currently en route.
Is airplane <MASKED_FLIGHT_NUM> still on time?,DEPARTED,"service <MASKED_FLIGHT_NUM> is already in the air, heading to its destination."
What’s the current update for service <MASKED_FLIGHT_NUM>?,CANCELLED,"Regrettably, flight <MASKED_FLIGHT_NUM> is cancelled. Please contact support for assistance with rebooking."
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,ON_TIME,Everything’s running smoothly for airplane <MASKED_FLIGHT_NUM>. It’s on time for departure at <MASKED_FLIGHT_TIME>.
Can I get confirmation that flight <MASKED_FLIGHT_NUM> is on schedule?,ON_TIME,"Everything is on track for airplane <MASKED_FLIGHT_NUM>, departing at <MASKED_FLIGHT_TIME> on time."
Can I get confirmation that flight <MASKED_FLIGHT_NUM> is on schedule?,DEPARTED,Flight flight <MASKED_FLIGHT_NUM> is already on its way to its destination.
Can you tell me about the status of service <MASKED_FLIGHT_NUM>?,ON_TIME,The flight airplane <MASKED_FLIGHT_NUM> is confirmed for departure at <MASKED_FLIGHT_TIME> without any delays.
Is service <MASKED_FLIGHT_NUM> expected to leave on time today?,ON_TIME,The status of airline <MASKED_FLIGHT_NUM> shows no delay. It will depart at <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,ON_TIME,We’re happy to report that carrier <MASKED_FLIGHT_NUM> is departing on time at <MASKED_FLIGHT_TIME>.
Is the plane <MASKED_FLIGHT_NUM> leaving as planned?,CANCELLED,We regret to inform you that carrier <MASKED_FLIGHT_NUM> is cancelled. Our team is ready to assist with alternative arrangements.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave as scheduled?,DEPARTED,The flight plane <MASKED_FLIGHT_NUM> is already airborne and on its way.
Is flight <MASKED_FLIGHT_NUM> currently running on time?,DEPARTED,jet <MASKED_FLIGHT_NUM> has taken off and is in the air.
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DELAYED,The flight jet <MASKED_FLIGHT_NUM> is delayed. It will depart at <MASKED_FLIGHT_TIME>.
Can you confirm if plane <MASKED_FLIGHT_NUM> is departing as scheduled?,CANCELLED,We regret to inform you that service <MASKED_FLIGHT_NUM> has been cancelled. Our support team is available to help you rebook.
Can you check if airplane <MASKED_FLIGHT_NUM> is leaving as planned?,ON_TIME,Great news! airplane <MASKED_FLIGHT_NUM> will depart at <MASKED_FLIGHT_TIME> as planned.
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,DELAYED,Expect a delay for plane <MASKED_FLIGHT_NUM>. The adjusted departure is at <MASKED_FLIGHT_TIME>.
What’s the departure status of flight <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,service <MASKED_FLIGHT_NUM> has already departed.
Is the flight number <MASKED_FLIGHT_NUM> still expected to depart on time?,DELAYED,The updated departure time for airplane <MASKED_FLIGHT_NUM> is <MASKED_FLIGHT_TIME> due to a delay.
Do you have updates about flight <MASKED_FLIGHT_NUM>? Is it on time?,DELAYED,"We're sorry for the delay, carrier <MASKED_FLIGHT_NUM>. The revised time of departure is <MASKED_FLIGHT_TIME>."
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,plane <MASKED_FLIGHT_NUM> is already airborne.
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,Boarding for plane <MASKED_FLIGHT_NUM> has begun at gate passenger gate.
Can I get the current status of airplane <MASKED_FLIGHT_NUM>?,CANCELLED,"Unfortunately, airplane <MASKED_FLIGHT_NUM> is no longer available. Please contact customer service for more information."
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,The flight carrier <MASKED_FLIGHT_NUM> has already departed from the airport.
Is airplane <MASKED_FLIGHT_NUM> still on time?,CANCELLED,We regret to inform you that airplane <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for assistance with rebooking.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave as scheduled?,CANCELLED,"Sadly, service <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for further assistance."
Can you check the schedule for flight <MASKED_FLIGHT_NUM>?,BOARDING,The flight jet <MASKED_FLIGHT_NUM> has started its boarding process.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",DEPARTED,The flight airline <MASKED_FLIGHT_NUM> has departed and is en route.
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,DELAYED,jet <MASKED_FLIGHT_NUM> has experienced a delay. New departure time: <MASKED_FLIGHT_TIME>.
Can you confirm if the aircraft <MASKED_FLIGHT_NUM> is running as planned?,DEPARTED,Flight aircraft <MASKED_FLIGHT_NUM> is in flight and heading to its destination.
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",ON_TIME,You’re all set! service <MASKED_FLIGHT_NUM> will depart at <MASKED_FLIGHT_TIME> as planned.
Has the schedule for service <MASKED_FLIGHT_NUM> changed?,DELAYED,"Apologies, but aircraft <MASKED_FLIGHT_NUM> has been delayed. New departure time: <MASKED_FLIGHT_TIME>."
Can you confirm the departure status of flight <MASKED_FLIGHT_NUM>?,ON_TIME,Everything is set for a smooth departure. jet <MASKED_FLIGHT_NUM> will leave at <MASKED_FLIGHT_TIME>.
Is plane <MASKED_FLIGHT_NUM> still leaving as scheduled?,BOARDING,Flight flight <MASKED_FLIGHT_NUM> is now boarding at gate flight gate.
Can you provide the current status of flight <MASKED_FLIGHT_NUM>?,DELAYED,The departure of jet <MASKED_FLIGHT_NUM> is delayed. The new time of departure is <MASKED_FLIGHT_TIME>.
Is the plane <MASKED_FLIGHT_NUM> on time or facing delays?,CANCELLED,"Sadly, airplane <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer support for further assistance."
What’s the latest departure update for plane <MASKED_FLIGHT_NUM>?,DEPARTED,The flight airline <MASKED_FLIGHT_NUM> has taken off and is airborne.
What’s the latest update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,CANCELLED,"Unfortunately, airplane <MASKED_FLIGHT_NUM> will not be departing. Contact support for information on how to rebook your flight."
Do you have updates on flight <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,"Timely as always, service <MASKED_FLIGHT_NUM> departs at <MASKED_FLIGHT_TIME>."
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,DEPARTED,Flight carrier <MASKED_FLIGHT_NUM> has already left and is en route.
What’s the departure update for airplane <MASKED_FLIGHT_NUM>?,DEPARTED,Flight jet <MASKED_FLIGHT_NUM> is already airborne and in flight.
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,DELAYED,airplane <MASKED_FLIGHT_NUM> is delayed. Please note the new departure time: <MASKED_FLIGHT_TIME>.
Can you verify if flight <MASKED_FLIGHT_NUM> is still on time?,DEPARTED,The flight airline <MASKED_FLIGHT_NUM> has left the ground.
Can you confirm that service <MASKED_FLIGHT_NUM> is departing on schedule?,BOARDING,Boarding has commenced for service <MASKED_FLIGHT_NUM> at gate boarding gate.
What’s the update on flight <MASKED_FLIGHT_NUM>? Is it on schedule?,CANCELLED,We're sorry to inform you that airplane <MASKED_FLIGHT_NUM> has been cancelled. Please reach out to support to reschedule.
What’s the departure update for airplane <MASKED_FLIGHT_NUM>?,BOARDING,Boarding for carrier <MASKED_FLIGHT_NUM> is now underway at gate gate position.
Can I get an update on aircraft <MASKED_FLIGHT_NUM>? Is it on time?,DEPARTED,The flight service <MASKED_FLIGHT_NUM> is no longer at the gate.
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,BOARDING,"Boarding has started for airline <MASKED_FLIGHT_NUM>, please proceed to gate flight entry gate."
Do you know if flight <MASKED_FLIGHT_NUM> is departing on time?,DELAYED,The departure for aircraft <MASKED_FLIGHT_NUM> has been delayed. The new departure time is <MASKED_FLIGHT_TIME>.
Is the flight <MASKED_FLIGHT_NUM> on time?,ON_TIME,The flight airplane <MASKED_FLIGHT_NUM> is departing as scheduled at <MASKED_FLIGHT_TIME>.
Can you verify if flight <MASKED_FLIGHT_NUM> is still on time?,CANCELLED,"Sadly, carrier <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer service for assistance with rebooking your flight.We're sorry to inform you that carrier <MASKED_FLIGHT_NUM> has been cancelled. Please contact customer service for further assistance."
Can you confirm that aircraft <MASKED_FLIGHT_NUM> is leaving as planned?,DELAYED,plane <MASKED_FLIGHT_NUM> is running late. The revised departure time is <MASKED_FLIGHT_TIME>.
What’s the expected departure time for service <MASKED_FLIGHT_NUM>?,CANCELLED,"Unfortunately, service <MASKED_FLIGHT_NUM> will not operate. Please contact customer support for your next steps."
Is flight <MASKED_FLIGHT_NUM> currently running on time?,DEPARTED,Flight plane <MASKED_FLIGHT_NUM> has already left for its destination.
Can you tell me if plane <MASKED_FLIGHT_NUM> is on time?,DELAYED,flight <MASKED_FLIGHT_NUM> will not depart as planned. It’s rescheduled to <MASKED_FLIGHT_TIME>.
Is flight <MASKED_FLIGHT_NUM> confirmed to leave on schedule?,ON_TIME,You’re all set! airplane <MASKED_FLIGHT_NUM> will depart at <MASKED_FLIGHT_TIME> as planned.
What’s the expected departure schedule for plane <MASKED_FLIGHT_NUM>?,CANCELLED,We're sorry to inform you that jet <MASKED_FLIGHT_NUM> is cancelled. Please contact support to reschedule your flight.
Do you have any updates on airplane <MASKED_FLIGHT_NUM>? Is it on time?,BOARDING,Boarding for airline <MASKED_FLIGHT_NUM> is now open at gate airside gate.
What’s the current update for service <MASKED_FLIGHT_NUM>?,BOARDING,The flight aircraft <MASKED_FLIGHT_NUM> has begun the boarding process.
What’s the update on flight <MASKED_FLIGHT_NUM>? Is it on schedule?,CANCELLED,We apologize for the inconvenience. plane <MASKED_FLIGHT_NUM> is cancelled. Please contact customer service for further support.
Can you check if the airplane <MASKED_FLIGHT_NUM> is on schedule?,DEPARTED,The flight jet <MASKED_FLIGHT_NUM> is on its way.
Can you confirm the departure time for flight <MASKED_FLIGHT_NUM>?,CANCELLED,"We're sorry, but airplane <MASKED_FLIGHT_NUM> has been cancelled. Contact customer support for rebooking options."
"Has flight <MASKED_FLIGHT_NUM> been delayed, or is it running on time?",CANCELLED,We regret to inform you that flight <MASKED_FLIGHT_NUM> is cancelled. Please reach out to customer support to explore options.
Can you verify if service <MASKED_FLIGHT_NUM> is departing soon?,ON_TIME,Everything is on track! carrier <MASKED_FLIGHT_NUM> will depart on time at <MASKED_FLIGHT_TIME>.
Is the aircraft <MASKED_FLIGHT_NUM> still scheduled to depart on time?,DEPARTED,Flight airline <MASKED_FLIGHT_NUM> has already left and is en route.
Is flight <MASKED_FLIGHT_NUM> still scheduled to leave on time?,DELAYED,plane <MASKED_FLIGHT_NUM> is delayed due to unforeseen issues. New departure: <MASKED_FLIGHT_TIME>.
Do you have updates about flight <MASKED_FLIGHT_NUM>? Is it on time?,ON_TIME,We’re happy to let you know that aircraft <MASKED_FLIGHT_NUM> is on time for departure at <MASKED_FLIGHT_TIME>.
Can you provide updates about the status of airplane <MASKED_FLIGHT_NUM>?,DELAYED,"Due to unforeseen circumstances, jet <MASKED_FLIGHT_NUM> will now depart at <MASKED_FLIGHT_TIME>."
Do you know if the plane <MASKED_FLIGHT_NUM> is leaving on time?,DEPARTED,service <MASKED_FLIGHT_NUM> has taken off and is no longer at the airport.
"Is the airplane <MASKED_FLIGHT_NUM> on time, or has there been a delay?",ON_TIME,We’re pleased to let you know that airline <MASKED_FLIGHT_NUM> is on time and leaving at <MASKED_FLIGHT_TIME>.
